Term1,Term2,BigramFreq,ContextFreq,BigramProb
las,firmas,1,8,0.125
firmas,de,1,1,1.0
se,sube,1,28,0.03571428571428571
kabroooooooooon,&,1,1,1.0
ay,kabroooooooooon,1,5,0.2
hacer,pipa,1,6,0.16666666666666666
va,hacer,1,8,0.125
lo,va,1,29,0.034482758620689655
decías,wey,1,1,1.0
que,decías,1,61,0.01639344262295082
dimelo,&,1,1,1.0
$,dimelo,1,416,0.002403846153846154
amenazando,wey,1,1,1.0
estas,amenazando,1,3,0.3333333333333333
me,estas,1,24,0.041666666666666664
pop,gabygod,1,6,0.16666666666666666
sacamos,a,1,1,1.0
$,sacamos,1,416,0.002403846153846154
